"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Abundance F19 Control"	"Abundance F20 Control"	"Abundance F21 Sample"	"Abundance F22 Sample"	"Abundance F23 Control"	"Abundance F24 Control"	"Abundance F25 Sample"	"Abundance F26 Sample"	"Found in Sample in S19 F19 Control"	"Found in Sample in S20 F20 Control"	"Found in Sample in S21 F21 Sample"	"Found in Sample in S22 F22 Sample"	"Found in Sample in S23 F23 Control"	"Found in Sample in S24 F24 Control"	"Found in Sample in S25 F25 Sample"	"Found in Sample in S26 F26 Sample"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"ENOG411CSCT"	"ENOG411CSCT"	"0.000"	"False"	"79.762"	"12"	"17"	"79"	"17"	"2790"	"317.7"	"5.69"	"185.42"	"17"	"79948443.84375"	"72656980.0625"	"90243973.5625"	"93501848.5"	"29161272.9179688"	"27604732.1484375"	"38944707.0625"	"38527601.8632813"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CTPI"	"ENOG411CTPI"	"0.000"	"False"	"79.263"	"40"	"10"	"74"	"10"	"735"	"80.5"	"5.07"	"210.81"	"10"	"212045019.25"	"205931693"	"301123785.5"	"311918535.75"	"38494145.3125"	"37924296.25"	"59690020.4375"	"57763928.4375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZ5U"	"ENOG411CZ5U"	"0.000"	"False"	"78.893"	"12"	"12"	"70"	"12"	"1971"	"230.5"	"6.33"	"149.07"	"12"	"224906324.21875"	"233469703.75"	"360603747.6875"	"362825480.4375"	"29587779.9179688"	"30528422.8867188"	"48434561.9453125"	"47179298.6796875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CTD4"	"ENOG411CTD4"	"0.000"	"False"	"78.799"	"18"	"18"	"74"	"18"	"3830"	"450.7"	"6.51"	"165.27"	"18"	"71650546.875"	"74403974.0625"	"79015107.625"	"85156417.6875"	"17941344.53125"	"18089096.1015625"	"24677944.84375"	"24428109.5351563"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411DEYD"	"ENOG411DEYD"	"0.000"	"False"	"78.566"	"31"	"19"	"64"	"11"	"1454"	"164.6"	"6.71"	"139.77"	"19"	"201101490.875"	"201734284.125"	"199799853.625"	"224986403.5"	"109663824.578125"	"106019923.988281"	"97952605.2148438"	"90364966.0195313"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CUAI"	"ENOG411CUAI"	"0.000"	"False"	"78.361"	"23"	"17"	"71"	"15"	"3862"	"433.4"	"9.39"	"177.13"	"17"	"52651536.8125"	"55211436.8125"	"72829915.25"	"107176891.375"	"13901993.1191406"	"15164187.1738281"	"19742115.7265625"	"20209341.734375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSPG"	"ENOG411CSPG"	"0.000"	"False"	"78.119"	"57"	"12"	"86"	"12"	"1032"	"119.3"	"10.42"	"246.39"	"12"	"161806017.875"	"160954510.8125"	"405353278.125"	"421061695.5"	"52845540.203125"	"54496184.3125"	"135485823.09375"	"135579033.375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSGB"	"ENOG411CSGB"	"0.000"	"False"	"77.983"	"33"	"17"	"78"	"17"	"1521"	"166.2"	"7.21"	"190.36"	"17"	"114898066.25"	"132382269"	"178241752"	"188428395.75"	"24111612.28125"	"23543754.828125"	"34489533.375"	"32410707"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYM3"	"ENOG411CYM3"	"0.000"	"False"	"77.965"	"19"	"17"	"89"	"15"	"1644"	"183.6"	"6.73"	"202.01"	"17"	"100122551.875"	"93452530"	"109099334.625"	"123148887.5"	"16828324.359375"	"18106490.328125"	"22524359.1982422"	"22223369.8125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPWW"	"ENOG411CPWW"	"0.000"	"False"	"77.756"	"33"	"14"	"75"	"14"	"1561"	"166.0"	"6.49"	"205.81"	"14"	"200904437.125"	"209456589.25"	"242897454.5"	"249663187.125"	"46902644.0625"	"46884496.84375"	"57536912.8554688"	"58712703.59375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRFV"	"ENOG411CRFV"	"0.000"	"False"	"77.648"	"11"	"18"	"69"	"18"	"8334"	"919.9"	"5.53"	"174.26"	"18"	"43499056.25"	"50122874.5625"	"75268105.25"	"78588084.1875"	"11025024.7890625"	"11293116.453125"	"16320102.265625"	"17069512.140625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPK3"	"ENOG411CPK3"	"0.000"	"False"	"77.639"	"57"	"15"	"87"	"15"	"789"	"89.0"	"8.25"	"238.98"	"15"	"280617966.625"	"273698040.6875"	"357063490.375"	"390391691.625"	"46126244.1796875"	"47801233.140625"	"66028785.8125"	"66426870.0625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWIP"	"ENOG411CWIP"	"0.000"	"False"	"77.615"	"24"	"15"	"82"	"15"	"1838"	"204.1"	"5.50"	"206.73"	"15"	"160699569.625"	"168726978.5"	"185723736.375"	"205706008.25"	"26789746.25"	"25999792.9375"	"34983591.109375"	"33718451.75"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D2E0"	"ENOG411D2E0"	"0.000"	"False"	"77.598"	"33"	"12"	"53"	"12"	"1283"	"142.4"	"6.07"	"128.23"	"12"	"44722839"	"36204367.75"	"69281716.375"	"67880600.875"	"13981383.7421875"	"14027000.8164063"	"24444616.59375"	"23905234.0625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSMB"	"ENOG411CSMB"	"0.000"	"False"	"77.463"	"29"	"17"	"76"	"17"	"2412"	"270.0"	"7.08"	"191.60"	"17"	"121330189.625"	"132968854.125"	"153910593.125"	"155258140.3125"	"29816803.28125"	"30166407.0625"	"37789973.28125"	"38727694.6328125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CY6H"	"ENOG411CY6H"	"0.000"	"False"	"77.367"	"28"	"12"	"74"	"8"	"1436"	"159.2"	"9.60"	"184.90"	"12"	"89915642.0625"	"103435612.8125"	"166584267.875"	"176298807.1875"	"21503711.6484375"	"22942771.828125"	"39666595.640625"	"39334123.609375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411DGE5"	"ENOG411DGE5"	"0.000"	"False"	"77.238"	"34"	"12"	"73"	"12"	"873"	"95.2"	"6.81"	"184.59"	"12"	"111902353.3125"	"106706893.46875"	"109498075.25"	"124863181.5"	"22098083.1796875"	"24336305.546875"	"28201355.671875"	"28463363.34375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWQE"	"ENOG411CWQE"	"0.000"	"False"	"77.182"	"17"	"22"	"67"	"22"	"3930"	"437.5"	"8.46"	"158.17"	"22"	"176743483.5625"	"157896954.3125"	"187300397.625"	"189430985"	"34284401.6777344"	"33745617.7070313"	"38962509.9257813"	"37070954.9492188"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZFN"	"ENOG411CZFN"	"0.000"	"False"	"77.046"	"25"	"8"	"90"	"8"	"349"	"37.8"	"9.76"	"284.00"	"8"	"265227652.5"	"268797725"	"521658154.875"	"530329627.875"	"55447167.734375"	"60378321.46875"	"123274778.828125"	"126605403.75"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPQE"	"ENOG411CPQE"	"0.000"	"False"	"77.007"	"25"	"14"	"65"	"14"	"1117"	"126.4"	"9.03"	"183.21"	"14"	"78054179.9375"	"75071093.359375"	"169773551.304688"	"165562959.375"	"19059636.8085938"	"19444519.1777344"	"49953389.0078125"	"48270180.9335938"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CWMN"	"ENOG411CWMN"	"0.000"	"False"	"76.924"	"41"	"14"	"81"	"14"	"411"	"46.0"	"7.44"	"217.88"	"14"	"120803240.375"	"120474772.4375"	"160859506"	"170285036.375"	"20770120.3125"	"21510690.484375"	"33237638.015625"	"34403413.75"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411DFH2"	"ENOG411DFH2"	"0.000"	"False"	"76.857"	"16"	"19"	"82"	"19"	"4666"	"517.4"	"4.96"	"198.44"	"19"	"266038387.625"	"272776141.125"	"323643303.6875"	"338305844.375"	"59339264.609375"	"59823818.28125"	"71995416.40625"	"72514118.71875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSPC"	"ENOG411CSPC"	"0.000"	"False"	"76.850"	"5"	"20"	"83"	"13"	"8562"	"975.3"	"5.53"	"160.47"	"20"	"67245360.9375"	"72553861.875"	"99480798.375"	"109013568.375"	"20040383.0625"	"20552105.0546875"	"29526415"	"29562014"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Xelaev18044447m.g"	"Xelaev18044447m.g"	"0.000"	"False"	"76.602"	"50"	"13"	"89"	"2"	"341"	"39.0"	"5.68"	"234.48"	"13"	"103508985.75"	"106387780.625"	"159572107.5"	"174678289.375"	"36272333.0625"	"37190757.40625"	"55971668.4375"	"56427072.84375"	"High"	"High"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Peak Found"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWCR"	"ENOG411CWCR"	"0.000"	"False"	"76.082"	"12"	"15"	"75"	"15"	"6081"	"664.2"	"6.02"	"205.23"	"15"	"323561983.25"	"314478008.875"	"382095703.5"	"393505128.25"	"68387684"	"69846007.5"	"88596306.40625"	"92195150.3828125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRDC"	"ENOG411CRDC"	"0.000"	"False"	"76.065"	"37"	"14"	"73"	"14"	"454"	"50.0"	"8.29"	"161.51"	"14"	"61588597.5"	"66115567.5625"	"71762233.625"	"78568839.625"	"15589452.125"	"15248037.390625"	"21326393.0625"	"22366701.796875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPXF"	"ENOG411CPXF"	"0.000"	"False"	"75.997"	"32"	"11"	"63"	"11"	"741"	"83.4"	"7.46"	"165.33"	"11"	"115631044.5"	"112671059.375"	"120673684.4375"	"148550205.25"	"28432232.921875"	"28197482.453125"	"35165459.5078125"	"34641988.265625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CURV"	"ENOG411CURV"	"0.000"	"False"	"75.853"	"44"	"17"	"58"	"16"	"1650"	"184.9"	"5.80"	"142.49"	"17"	"44628829.6875"	"48283959.1875"	"83963703.125"	"89818361.875"	"11212981.7890625"	"11363453.1953125"	"22401098.078125"	"21620933.046875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYN2"	"ENOG411CYN2"	"0.000"	"False"	"75.545"	"45"	"18"	"84"	"18"	"2537"	"297.2"	"6.77"	"197.70"	"18"	"177626851.125"	"179841906.375"	"166737314.875"	"173907309.3125"	"45214324.28125"	"49223631.171875"	"46432004.03125"	"47117701.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQD2"	"ENOG411CQD2"	"0.000"	"False"	"75.269"	"13"	"17"	"70"	"17"	"2681"	"307.7"	"6.61"	"160.76"	"17"	"201630408.8125"	"197448130.75"	"209286245.9375"	"230896242.46875"	"7499772.44238281"	"8078809.703125"	"11278106.1484375"	"11825984.671875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVBD"	"ENOG411CVBD"	"0.000"	"False"	"74.942"	"26"	"11"	"74"	"11"	"1435"	"161.2"	"5.54"	"194.00"	"11"	"100542745.75"	"101577639.5"	"138601034.75"	"149103270.125"	"32188166.0546875"	"32822922.734375"	"47277692.0625"	"47911065.578125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWPI"	"ENOG411CWPI"	"0.000"	"False"	"74.918"	"33"	"15"	"65"	"15"	"1383"	"147.9"	"9.22"	"138.44"	"15"	"40943397"	"47831351.125"	"81405398.125"	"91725147.25"	"12172127.8203125"	"11765601.6875"	"21746728.859375"	"21217325"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CR0G"	"ENOG411CR0G"	"0.000"	"False"	"74.642"	"30"	"18"	"89"	"18"	"1030"	"114.9"	"6.62"	"215.59"	"18"	"137654555.375"	"127042864.5"	"170099702.125"	"175980875.375"	"27383737.640625"	"27960089.828125"	"36908780.9335938"	"37799176.75"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CQT9"	"ENOG411CQT9"	"0.000"	"False"	"74.516"	"27"	"17"	"59"	"17"	"927"	"104.0"	"6.89"	"147.06"	"17"	"82610333.1875"	"84201519.9375"	"102945210.75"	"117464169.28125"	"14145676.6796875"	"17396110.9189453"	"23379737.7480469"	"23700553.1015625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYQY"	"ENOG411CYQY"	"0.000"	"False"	"74.323"	"54"	"11"	"69"	"5"	"246"	"27.7"	"4.82"	"187.85"	"11"	"193859231.25"	"187314338.75"	"300385136.625"	"286340323.625"	"42961556.2558594"	"43037775.4394531"	"70394895.765625"	"68822359.796875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQAC"	"ENOG411CQAC"	"0.000"	"False"	"73.998"	"60"	"11"	"62"	"11"	"310"	"34.5"	"6.46"	"136.57"	"11"	"144754249.75"	"135018908.4375"	"168461267.125"	"156532831.5"	"26669084.1855469"	"26727980.4277344"	"45387751.8945313"	"45849260.625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZAR"	"ENOG411CZAR"	"0.000"	"False"	"73.773"	"45"	"15"	"60"	"15"	"653"	"73.3"	"5.77"	"158.53"	"15"	"105067406.75"	"109794350.5"	"113969131.875"	"126000445.5"	"24205944.8046875"	"25914969.28125"	"29127958"	"29999197.75"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXHR"	"ENOG411CXHR"	"0.000"	"False"	"73.677"	"13"	"18"	"61"	"18"	"12562"	"1382.3"	"4.79"	"160.51"	"18"	"516500522.25"	"509889447.125"	"516137122.75"	"559045108.75"	"71034906.15625"	"68992142.71875"	"76138891.4375"	"79885860.46875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUSQ"	"ENOG411CUSQ"	"0.000"	"False"	"73.657"	"26"	"14"	"72"	"14"	"1424"	"151.5"	"7.84"	"168.75"	"14"	"115168984.5"	"123132699.875"	"197263473"	"198335919.75"	"27499175.9140625"	"26455480.8984375"	"52284147.6875"	"52719737.90625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CTJV"	"ENOG411CTJV"	"0.000"	"False"	"73.469"	"23"	"16"	"77"	"13"	"2795"	"309.7"	"7.08"	"194.78"	"16"	"62987946.9375"	"57201012.3125"	"81326626.125"	"78804205"	"11390428.2460938"	"13980277.6992188"	"15617727.734375"	"14808511.390625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPA9"	"ENOG411CPA9"	"0.000"	"False"	"73.441"	"48"	"7"	"91"	"7"	"338"	"36.6"	"9.45"	"271.85"	"7"	"615565913.875"	"582934703.5"	"1086084882.375"	"1134487173.5"	"126640795.21875"	"130055906.9375"	"249730195.261719"	"246049854.132813"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXA2"	"ENOG411CXA2"	"0.000"	"False"	"73.343"	"18"	"14"	"68"	"14"	"2651"	"299.3"	"7.43"	"143.71"	"14"	"140135204.125"	"143826051.0625"	"205296327.625"	"209829377.25"	"19002155.3603516"	"19914184.40625"	"30444116.8203125"	"30915150.515625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CXN9"	"ENOG411CXN9"	"0.000"	"False"	"73.274"	"34"	"13"	"85"	"13"	"739"	"80.7"	"7.11"	"219.44"	"13"	"143848601.75"	"163080931.984375"	"173899600.78125"	"196435274.625"	"39241945.0214844"	"40352775.3242188"	"53604656.0898438"	"55635074.4570313"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZFK"	"ENOG411CZFK"	"0.000"	"False"	"73.189"	"5"	"21"	"66"	"21"	"9293"	"1065.2"	"6.47"	"143.64"	"21"	"26851453.125"	"20263546.59375"	"54951108.125"	"60535606.875"	"7030051.25"	"6540528.52539063"	"13641716.796875"	"13694395.8125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXJC"	"ENOG411CXJC"	"0.000"	"False"	"73.042"	"28"	"13"	"58"	"13"	"861"	"93.6"	"9.09"	"156.77"	"13"	"54283193.9375"	"53231449.6875"	"94148410"	"96194696.3125"	"15449790.203125"	"15521422.2675781"	"28741956.3203125"	"27567326.9375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQFW"	"ENOG411CQFW"	"0.000"	"False"	"72.761"	"25"	"16"	"81"	"16"	"1357"	"149.8"	"6.74"	"196.99"	"16"	"147061183.25"	"141729543.375"	"170724514.25"	"167272415.1875"	"31192906.0214844"	"33315561.28125"	"37077112.6875"	"40611657.46875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUY5"	"ENOG411CUY5"	"0.000"	"False"	"72.711"	"40"	"10"	"65"	"10"	"778"	"88.3"	"7.27"	"180.95"	"10"	"87772540.90625"	"93808316.0625"	"119460037.5"	"115580659.75"	"25448451.5332031"	"26190086.4882813"	"37697093.6640625"	"38210069.7578125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D3JR"	"ENOG411D3JR"	"0.000"	"False"	"72.462"	"66"	"7"	"100"	"7"	"235"	"26.2"	"9.76"	"294.46"	"7"	"641503466.375"	"628133237.25"	"905891064.5"	"1039370945.5"	"105277088.40625"	"113628957.667969"	"185583826.625"	"187480422.089844"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZPW"	"ENOG411CZPW"	"0.000"	"False"	"72.327"	"37"	"16"	"52"	"16"	"2093"	"224.3"	"7.65"	"136.93"	"16"	"53005308.875"	"56655089.6875"	"62389113.6875"	"66643152.625"	"10326081.0527344"	"14349071.1972656"	"12847302.40625"	"12653883.078125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSAG"	"ENOG411CSAG"	"0.000"	"False"	"71.689"	"34"	"13"	"69"	"9"	"2021"	"228.6"	"9.63"	"179.95"	"13"	"57820501"	"65173800.625"	"82424421"	"95518536.625"	"15322072.3671875"	"17424720.0625"	"21612905.2695313"	"19348299.21875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CX81"	"ENOG411CX81"	"0.000"	"False"	"71.627"	"37"	"16"	"59"	"16"	"1965"	"219.1"	"5.58"	"149.11"	"16"	"120106115.5"	"124155493.4375"	"149425354.25"	"144030405.75"	"26906633.2421875"	"27364591.734375"	"38610141.6289063"	"37876856.1328125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUGW"	"ENOG411CUGW"	"0.000"	"False"	"71.588"	"26"	"10"	"81"	"10"	"868"	"97.0"	"6.00"	"226.64"	"10"	"211760541.0625"	"214088268.0625"	"268684193.75"	"283439705.25"	"49883104.96875"	"49285674.234375"	"71462987.5859375"	"69935123.765625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CTT2"	"ENOG411CTT2"	"0.000"	"False"	"71.578"	"15"	"15"	"78"	"15"	"2720"	"313.7"	"6.61"	"170.64"	"15"	"102557650.875"	"91669901.5"	"115691647.75"	"124433642"	"23230556.125"	"23908774.09375"	"30750380.484375"	"30775216.6875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CU2K"	"ENOG411CU2K"	"0.000"	"False"	"71.502"	"16"	"20"	"55"	"20"	"1471"	"163.9"	"6.70"	"116.69"	"20"	"637606186.5"	"606264924.1875"	"789150918.6875"	"907886737.25"	"90573740.2929688"	"89309396.296875"	"135556048.78125"	"130868026.71875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVIB"	"ENOG411CVIB"	"0.000"	"False"	"71.273"	"22"	"13"	"58"	"13"	"1929"	"213.2"	"5.25"	"151.19"	"13"	"82131728.125"	"80255167.5"	"117631661.375"	"128893350.25"	"15751293.6328125"	"16697347.5351563"	"24030113.8125"	"24824096.4375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWRY"	"ENOG411CWRY"	"0.000"	"False"	"70.987"	"21"	"14"	"87"	"14"	"1703"	"193.1"	"7.25"	"208.19"	"14"	"250787271"	"253785058.25"	"394938365.25"	"395391063"	"45044066.9902344"	"44277061.4121094"	"75558884.2128906"	"72573842.21875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CU7F"	"ENOG411CU7F"	"0.000"	"False"	"70.955"	"40"	"17"	"78"	"17"	"1113"	"121.7"	"6.79"	"197.23"	"17"	"180238484.25"	"181354803.875"	"214518749.75"	"243581259.875"	"94066415.9296875"	"88462160.9375"	"116210914.648438"	"114866459.625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQAE"	"ENOG411CQAE"	"0.000"	"False"	"70.953"	"34"	"16"	"74"	"16"	"1604"	"179.1"	"8.16"	"183.06"	"16"	"214877976.75"	"207036321.125"	"191240396.625"	"191970976.9375"	"42913300.9941406"	"41394476.1738281"	"44392327.7382813"	"43493240.28125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZ0T"	"ENOG411CZ0T"	"0.000"	"False"	"70.800"	"56"	"15"	"100"	"15"	"538"	"62.5"	"5.77"	"216.71"	"15"	"263900970.75"	"245919701.5"	"322779808"	"337071733.6875"	"45359068.4355469"	"45073581.4570313"	"63022937.4375"	"61404982.1210938"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CR74"	"ENOG411CR74"	"0.000"	"False"	"70.613"	"32"	"14"	"66"	"14"	"863"	"98.4"	"9.14"	"158.01"	"14"	"60579915.8125"	"65434214.375"	"112762892.875"	"119088722.5625"	"16506468.2695313"	"16923802.390625"	"36361436.59375"	"36796857.078125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUDK"	"ENOG411CUDK"	"0.000"	"False"	"70.065"	"40"	"9"	"85"	"8"	"1094"	"122.2"	"7.06"	"198.10"	"9"	"183577506.375"	"184609250.75"	"245930086.9375"	"243142424.75"	"33145273.3125"	"35776600"	"49180207.3085938"	"49439885.4296875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQFA"	"ENOG411CQFA"	"0.000"	"False"	"69.986"	"55"	"12"	"82"	"12"	"305"	"34.8"	"10.73"	"185.82"	"12"	"434572133.5"	"439941793.5"	"852508224.25"	"882325421.875"	"92567846.9375"	"93411663.109375"	"195550596.414063"	"192658276.867188"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQUK"	"ENOG411CQUK"	"0.000"	"False"	"69.803"	"38"	"14"	"71"	"14"	"550"	"63.9"	"6.40"	"186.15"	"14"	"78952646.75"	"82305169.5"	"98424206.875"	"93368958.5"	"25719020.6523438"	"26950494.1640625"	"32268475.1875"	"31939961.3984375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZFR"	"ENOG411CZFR"	"0.000"	"False"	"69.681"	"30"	"14"	"60"	"14"	"637"	"69.8"	"7.43"	"171.75"	"14"	"53230173.34375"	"67935242.0625"	"77353960.875"	"90250805.1875"	"15312052.953125"	"16097500.359375"	"20412856.25"	"20151357.9375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
