"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Abundance F27 Control"	"Abundance F28 Control"	"Abundance F29 Sample"	"Abundance F30 Sample"	"Found in Sample in S27 F27 Control"	"Found in Sample in S28 F28 Control"	"Found in Sample in S29 F29 Sample"	"Found in Sample in S30 F30 Sample"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"ENOG411CY1M"	"ENOG411CY1M"	"0.000"	"False"	"26.472"	"27"	"8"	"32"	"8"	"622"	"71.3"	"10.29"	"62.28"	"8"	"32947569.375"	"34665886.5703125"	"84391340.25"	"85728270.1875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYEG"	"ENOG411CYEG"	"0.000"	"False"	"26.425"	"10"	"8"	"16"	"8"	"2347"	"261.4"	"8.81"	"35.22"	"8"	"5342175.2265625"	"5467687.1796875"	"21864756.703125"	"22055205.1875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CU47"	"ENOG411CU47"	"0.000"	"False"	"26.368"	"4"	"7"	"16"	"7"	"3772"	"435.0"	"5.43"	"39.17"	"7"	"1724267.9765625"	"1645142.03808594"	"4277804.29296875"	"4204348.921875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CTQ0"	"ENOG411CTQ0"	"0.000"	"False"	"26.358"	"13"	"6"	"11"	"6"	"1449"	"163.0"	"8.98"	"29.87"	"6"	"2079685.26171875"	"1906054.359375"	"6662133.5"	"6549324.15625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVHA"	"ENOG411CVHA"	"0.000"	"False"	"26.297"	"10"	"10"	"20"	"10"	"4261"	"471.6"	"5.60"	"44.69"	"10"	"12015578.9667969"	"12100538.9882813"	"18454017.75"	"18458802.6875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWJI"	"ENOG411CWJI"	"0.000"	"False"	"26.285"	"37"	"7"	"21"	"7"	"488"	"54.1"	"10.42"	"48.81"	"7"	"17749929.5234375"	"29011559.453125"	"74171410.203125"	"50948302.2734375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRRE"	"ENOG411CRRE"	"0.000"	"False"	"26.227"	"10"	"6"	"10"	"6"	"1024"	"117.0"	"6.33"	"26.09"	"6"	"1367188.85546875"	"1298289.53125"	"5330160.59375"	"5455078.6875"	"High"	"Peak Found"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVVF"	"ENOG411CVVF"	"0.000"	"False"	"26.149"	"9"	"5"	"15"	"5"	"1899"	"208.4"	"5.39"	"39.27"	"5"	"9665800.8125"	"9749225.984375"	"14426700.75"	"13807902.75"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXXI"	"ENOG411CXXI"	"0.000"	"False"	"26.137"	"22"	"8"	"24"	"8"	"881"	"95.8"	"9.92"	"56.88"	"8"	"18481224.9375"	"17932486.5"	"20768655.6875"	"21503945.3125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CP8E"	"ENOG411CP8E"	"0.000"	"False"	"26.110"	"4"	"9"	"16"	"9"	"5322"	"589.0"	"5.83"	"33.51"	"9"	"1156564.96289063"	"1240234.83203125"	"4255367.2890625"	"3225428.609375"	"Peak Found"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQQF"	"ENOG411CQQF"	"0.000"	"False"	"26.035"	"8"	"8"	"20"	"8"	"2407"	"266.5"	"5.10"	"44.84"	"8"	"5533740.24609375"	"5214007.13085938"	"15836088.1875"	"13649465.3125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CW4Q"	"ENOG411CW4Q"	"0.000"	"False"	"25.776"	"5"	"9"	"16"	"9"	"2780"	"307.9"	"5.58"	"34.18"	"9"	"2270342.30078125"	"2280203.0234375"	"9317405.53125"	"9718372.21875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D0RV"	"ENOG411D0RV"	"0.000"	"False"	"25.732"	"39"	"9"	"26"	"9"	"473"	"55.9"	"10.56"	"52.28"	"9"	"18468652.71875"	"22651034.3125"	"68543817.8125"	"62335184.078125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D34D"	"ENOG411D34D"	"0.000"	"False"	"25.732"	"19"	"7"	"27"	"7"	"710"	"81.0"	"11.82"	"56.86"	"7"	"26713532.5"	"28252366.7734375"	"69448127.1445313"	"70924899.46875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQAY"	"ENOG411CQAY"	"0.000"	"False"	"25.726"	"8"	"8"	"16"	"8"	"3771"	"426.0"	"6.54"	"38.78"	"8"	"12101131.4023438"	"53497632.8789063"	"41237068.03125"	"29758737.6875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D2XD"	"ENOG411D2XD"	"0.000"	"False"	"25.681"	"34"	"6"	"16"	"6"	"930"	"96.2"	"6.42"	"38.57"	"6"	"6165147.59375"	"6253886.984375"	"18982713.6875"	"20107438.21875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D02Q"	"ENOG411D02Q"	"0.000"	"False"	"25.626"	"11"	"8"	"16"	"8"	"2251"	"248.0"	"9.09"	"36.34"	"8"	"62058778.203125"	"64281943.6347656"	"120053424.859375"	"121120820.09375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSAT"	"ENOG411CSAT"	"0.000"	"False"	"25.496"	"14"	"7"	"20"	"7"	"5093"	"584.7"	"6.80"	"41.53"	"7"	"5967855.640625"	"5899436.78515625"	"17380283.875"	"16264429.375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRZ4"	"ENOG411CRZ4"	"0.000"	"False"	"25.484"	"30"	"6"	"25"	"6"	"435"	"49.1"	"8.46"	"60.68"	"6"	"29540722.25"	"28464288.75"	"82470599"	"84205877"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CWCC"	"ENOG411CWCC"	"0.000"	"False"	"25.451"	"13"	"5"	"15"	"5"	"1114"	"122.7"	"5.92"	"35.91"	"5"	"6601679.234375"	"6679871.625"	"11607887.3125"	"12106195.25"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D2BD"	"ENOG411D2BD"	"0.000"	"False"	"25.342"	"10"	"6"	"18"	"6"	"1864"	"210.0"	"7.50"	"34.87"	"6"	"5726650.46484375"	"5679051.20703125"	"13921167.71875"	"14224870.21875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPIC"	"ENOG411CPIC"	"0.000"	"False"	"25.311"	"8"	"10"	"19"	"10"	"1323"	"143.8"	"5.40"	"37.63"	"10"	"3085834.890625"	"3233317.3203125"	"13042206.25"	"13593774.8125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D1F9"	"ENOG411D1F9"	"0.000"	"False"	"25.291"	"4"	"7"	"11"	"7"	"6701"	"764.5"	"5.83"	"23.34"	"7"	"2401935.625"	"2406811.2265625"	"6134152.84375"	"6420380.375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUII"	"ENOG411CUII"	"0.000"	"False"	"25.133"	"24"	"6"	"17"	"4"	"491"	"56.0"	"4.88"	"42.55"	"6"	"15925689.7421875"	"16140010.1875"	"48639610.875"	"48825237.25"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411DBQK"	"ENOG411DBQK"	"0.000"	"False"	"25.123"	"33"	"9"	"22"	"9"	"588"	"68.5"	"10.68"	"52.82"	"9"	"15696198.5"	"14792601.234375"	"68828662.6289063"	"69952835.8242188"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CX55"	"ENOG411CX55"	"0.000"	"False"	"24.951"	"42"	"6"	"28"	"6"	"255"	"27.4"	"10.59"	"65.21"	"6"	"38871772.9267578"	"39166063.7109375"	"73937629.40625"	"74759716.78125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411DEMV"	"ENOG411DEMV"	"0.000"	"False"	"24.741"	"24"	"7"	"31"	"7"	"639"	"74.1"	"8.28"	"69.67"	"7"	"25103648.796875"	"25436552.0625"	"78044816.5"	"78851960.5"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQA2"	"ENOG411CQA2"	"0.000"	"False"	"24.665"	"10"	"6"	"14"	"6"	"966"	"108.2"	"4.91"	"31.95"	"6"	"595948.31640625"	"506685.4453125"	"2337819.765625"	"2289472.125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQ4T"	"ENOG411CQ4T"	"0.000"	"False"	"24.272"	"7"	"8"	"14"	"8"	"5960"	"623.3"	"8.54"	"26.48"	"8"	"3075990.765625"	"4380275.8125"	"10263185.875"	"7984822.02539063"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQI4"	"ENOG411CQI4"	"0.000"	"False"	"24.211"	"23"	"9"	"20"	"9"	"435"	"49.7"	"9.52"	"44.65"	"9"	"8131752.171875"	"8667410.8125"	"14629653.5078125"	"15372372.390625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQ9Q"	"ENOG411CQ9Q"	"0.000"	"False"	"24.204"	"17"	"6"	"12"	"6"	"1155"	"129.7"	"6.47"	"34.98"	"6"	"2349762.64453125"	"2423060.73046875"	"6401560.84375"	"6182731.59375"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411D01Y"	"ENOG411D01Y"	"0.000"	"False"	"24.196"	"2"	"5"	"12"	"5"	"3531"	"409.5"	"8.22"	"26.51"	"5"	"1231899.46875"	"1291285.25"	"6168567.25"	"6622594.75"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CS7X"	"ENOG411CS7X"	"0.000"	"False"	"24.179"	"34"	"8"	"24"	"8"	"411"	"48.5"	"11.47"	"44.37"	"8"	"10870844.6601563"	"11885772.5585938"	"35857160.25"	"35979257.9375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRWF"	"ENOG411CRWF"	"0.000"	"False"	"24.139"	"12"	"7"	"18"	"7"	"586"	"66.9"	"7.87"	"42.23"	"7"	"4176781.75"	"4190652.6875"	"11100800.6875"	"11036056.3125"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CWP3"	"ENOG411CWP3"	"0.000"	"False"	"23.988"	"6"	"8"	"17"	"8"	"5450"	"615.3"	"6.05"	"26.34"	"8"	"1890964.28125"	"1616113.546875"	"6875763.4375"	"7004866.09375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUEE"	"ENOG411CUEE"	"0.000"	"False"	"23.980"	"12"	"6"	"16"	"6"	"2489"	"270.4"	"4.73"	"42.53"	"6"	"2271175.35546875"	"2160969.703125"	"8186864.875"	"8525636.5625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D0ZT"	"ENOG411D0ZT"	"0.000"	"False"	"23.944"	"24"	"5"	"12"	"5"	"234"	"25.8"	"6.80"	"29.07"	"5"	"2219107.375"	"2171540.5"	"5716944.84375"	"6000256.5625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPZF"	"ENOG411CPZF"	"0.000"	"False"	"23.899"	"13"	"7"	"22"	"7"	"2932"	"327.6"	"7.49"	"49.22"	"7"	"2406393.57421875"	"2498437.31640625"	"6599498.515625"	"6328493.171875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D52A"	"ENOG411D52A"	"0.000"	"False"	"23.799"	"23"	"7"	"19"	"7"	"875"	"90.1"	"5.55"	"45.15"	"7"	"5102277.953125"	"6753506.4765625"	"12745027.40625"	"11129357.6875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CU4Y"	"ENOG411CU4Y"	"0.000"	"False"	"23.782"	"11"	"7"	"22"	"7"	"1089"	"119.5"	"8.40"	"38.52"	"7"	"11101167.96875"	"11148462.2890625"	"25753883.09375"	"25788918.53125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411DGJD"	"ENOG411DGJD"	"0.000"	"False"	"23.605"	"4"	"7"	"18"	"7"	"4645"	"524.6"	"4.89"	"38.51"	"7"	"3127369.953125"	"3115097.625"	"6065478.15625"	"6142223.265625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRYY"	"ENOG411CRYY"	"0.000"	"False"	"23.591"	"11"	"7"	"9"	"7"	"2154"	"239.7"	"5.08"	"18.80"	"7"	"949675.607421875"	"1012115.61132813"	"4821041.0625"	"4851216.625"	"Peak Found"	"Peak Found"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRQ4"	"ENOG411CRQ4"	"0.000"	"False"	"23.552"	"13"	"7"	"17"	"7"	"1767"	"192.2"	"7.96"	"26.17"	"7"	"3746756.54296875"	"3759223.66015625"	"10776805.140625"	"10725275.234375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSCT"	"ENOG411CSCT"	"0.000"	"False"	"23.506"	"4"	"7"	"15"	"7"	"2790"	"317.7"	"5.69"	"36.18"	"7"	"3982967.921875"	"4021418.34375"	"7259095.15625"	"7503812.0625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPPR"	"ENOG411CPPR"	"0.000"	"False"	"23.488"	"21"	"8"	"23"	"8"	"718"	"78.6"	"8.10"	"49.63"	"8"	"9361659.2734375"	"9172244.859375"	"22048099.3125"	"21716333.5"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZE3"	"ENOG411CZE3"	"0.000"	"False"	"23.424"	"20"	"6"	"21"	"6"	"1060"	"117.1"	"4.78"	"46.54"	"6"	"7338697.25"	"7376164.21875"	"20946772.875"	"21390761.5"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPN1"	"ENOG411CPN1"	"0.000"	"False"	"23.329"	"24"	"7"	"13"	"7"	"920"	"100.7"	"9.25"	"29.20"	"7"	"4171402.22753906"	"4023135.96875"	"9399117.78125"	"7783312.94921875"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CUSR"	"ENOG411CUSR"	"0.000"	"False"	"23.220"	"5"	"8"	"19"	"8"	"4449"	"485.8"	"7.56"	"34.25"	"8"	"1384754.015625"	"1227196.96875"	"4367794.19140625"	"4227588.68359375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D3UG"	"ENOG411D3UG"	"0.000"	"False"	"23.142"	"16"	"4"	"20"	"4"	"737"	"82.0"	"5.25"	"43.97"	"4"	"7847953.1484375"	"10677292.9179688"	"33174246.75"	"33188990.21875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPQE"	"ENOG411CPQE"	"0.000"	"False"	"23.000"	"13"	"6"	"16"	"6"	"1117"	"126.4"	"9.03"	"41.61"	"6"	"5179398.43652344"	"5257448.31640625"	"19843829.34375"	"18693360.46875"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CX7K"	"ENOG411CX7K"	"0.000"	"False"	"22.819"	"5"	"8"	"12"	"8"	"2246"	"259.7"	"7.69"	"18.79"	"8"	"826370.526367188"	"694753.041503906"	"1935834.5234375"	"2108435.30078125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXS1"	"ENOG411CXS1"	"0.000"	"False"	"22.784"	"41"	"6"	"22"	"6"	"409"	"46.1"	"10.17"	"55.30"	"6"	"17995841.734375"	"18188883.34375"	"64483638.40625"	"65791076.203125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CY4Q"	"ENOG411CY4Q"	"0.000"	"False"	"22.714"	"5"	"6"	"14"	"6"	"2187"	"245.1"	"6.52"	"35.48"	"6"	"2014574.140625"	"2068150.421875"	"6478898.84375"	"6723323.73828125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVIM"	"ENOG411CVIM"	"0.000"	"False"	"22.701"	"11"	"7"	"15"	"7"	"1632"	"185.9"	"6.48"	"27.77"	"7"	"5210029.96875"	"5188866"	"16776008.375"	"16313240.21875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRFV"	"ENOG411CRFV"	"0.000"	"False"	"22.658"	"3"	"5"	"14"	"5"	"8334"	"919.9"	"5.53"	"30.96"	"5"	"3490695.890625"	"3682411.9375"	"3389332.0625"	"2546478.84375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXDQ"	"ENOG411CXDQ"	"0.000"	"False"	"22.508"	"5"	"6"	"12"	"6"	"6354"	"702.8"	"8.72"	"27.22"	"6"	"352180.71875"	"402076"	"1303966.15625"	"1195787.8125"	"Peak Found"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUH0"	"ENOG411CUH0"	"0.000"	"False"	"22.492"	"5"	"5"	"14"	"5"	"3500"	"395.1"	"6.51"	"31.61"	"5"	"2559151.203125"	"2542849.546875"	"6375546.21875"	"6781557.75"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWPI"	"ENOG411CWPI"	"0.000"	"False"	"22.345"	"13"	"6"	"13"	"6"	"1383"	"147.9"	"9.22"	"20.51"	"6"	"3860395.640625"	"3870928.765625"	"3990253.109375"	"4228893"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CV6G"	"ENOG411CV6G"	"0.000"	"False"	"22.219"	"7"	"7"	"13"	"7"	"3953"	"440.6"	"7.53"	"30.15"	"7"	"1785333.62890625"	"1864904.11914063"	"5094432.953125"	"5395803.13867188"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRST"	"ENOG411CRST"	"0.000"	"False"	"22.213"	"3"	"7"	"20"	"7"	"6000"	"672.6"	"4.58"	"45.14"	"7"	"2743498.16796875"	"2647817.66992188"	"7620867.96875"	"6904296.875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRDC"	"ENOG411CRDC"	"0.000"	"False"	"22.211"	"19"	"8"	"15"	"8"	"454"	"50.0"	"8.29"	"35.55"	"8"	"5601695.3125"	"5490433.375"	"12688771.484375"	"12876094.640625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CTT2"	"ENOG411CTT2"	"0.000"	"False"	"22.194"	"7"	"6"	"15"	"6"	"2720"	"313.7"	"6.61"	"26.72"	"6"	"4293141.17578125"	"4137269.73046875"	"13063094.03125"	"13671359.75"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D1DH"	"ENOG411D1DH"	"0.000"	"False"	"22.080"	"17"	"6"	"18"	"6"	"744"	"83.1"	"5.24"	"43.85"	"6"	"2068385.32421875"	"2574531.875"	"7506772.875"	"6527625.16796875"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CU4R"	"ENOG411CU4R"	"0.000"	"False"	"22.053"	"9"	"6"	"15"	"6"	"1559"	"175.8"	"7.84"	"36.36"	"6"	"3282513.7734375"	"3125398.0078125"	"9124448.3125"	"9485127.875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZ9S"	"ENOG411CZ9S"	"0.000"	"False"	"22.037"	"12"	"6"	"12"	"6"	"2120"	"235.6"	"8.24"	"26.39"	"6"	"2903463.921875"	"3502101.609375"	"10395868.875"	"9062116.4375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRQ5"	"ENOG411CRQ5"	"0.000"	"False"	"22.036"	"11"	"4"	"12"	"4"	"1389"	"145.9"	"5.38"	"30.18"	"4"	"3736528.5"	"3907335.57421875"	"13498328.5546875"	"14152355.1757813"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQ18"	"ENOG411CQ18"	"0.000"	"False"	"21.903"	"12"	"6"	"14"	"6"	"969"	"108.4"	"8.31"	"35.87"	"6"	"2174015.828125"	"2209029.8671875"	"5847361.375"	"5741601.875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQTF"	"ENOG411CQTF"	"0.000"	"False"	"21.874"	"16"	"5"	"15"	"5"	"1401"	"147.8"	"8.85"	"35.95"	"5"	"3453812.34375"	"3436196.515625"	"6065742.625"	"6353815.203125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUDK"	"ENOG411CUDK"	"0.000"	"False"	"21.716"	"18"	"5"	"20"	"4"	"1094"	"122.2"	"7.06"	"39.48"	"5"	"25512344.40625"	"32777680.453125"	"69614063.1875"	"70409347.375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRJ5"	"ENOG411CRJ5"	"0.000"	"False"	"21.670"	"2"	"6"	"13"	"6"	"14714"	"1669.7"	"8.35"	"23.24"	"6"	"374956.2109375"	"398388.0859375"	"1450457.203125"	"1472211.359375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZG9"	"ENOG411CZG9"	"0.000"	"False"	"21.647"	"8"	"7"	"14"	"7"	"2110"	"242.4"	"5.45"	"29.58"	"7"	"1514816.33203125"	"1646827.1015625"	"5135282.25"	"5175320.625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSWJ"	"ENOG411CSWJ"	"0.000"	"False"	"21.644"	"5"	"8"	"15"	"8"	"2166"	"248.2"	"6.65"	"34.30"	"8"	"3801898.8046875"	"3760696.5078125"	"9986638.78125"	"10201737.78125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYM3"	"ENOG411CYM3"	"0.000"	"False"	"21.459"	"8"	"5"	"17"	"3"	"1644"	"183.6"	"6.73"	"40.42"	"5"	"5550303.3125"	"5372465.609375"	"12822956.0625"	"13224314.6875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYVX"	"ENOG411CYVX"	"0.000"	"False"	"21.421"	"5"	"5"	"9"	"5"	"4213"	"477.8"	"6.48"	"24.71"	"5"	"2334245.40625"	"2319000.8125"	"6734552.671875"	"6714969.734375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CS5H"	"ENOG411CS5H"	"0.000"	"False"	"21.356"	"18"	"7"	"16"	"7"	"1080"	"118.4"	"5.77"	"37.32"	"7"	"4816418.78125"	"4744917.515625"	"11676913.875"	"12011622.375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQNV"	"ENOG411CQNV"	"0.000"	"False"	"21.294"	"21"	"4"	"11"	"4"	"485"	"53.2"	"7.88"	"28.31"	"4"	"1646154.140625"	"2838510.21875"	"8618551.09375"	"8853889.65625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CS2A"	"ENOG411CS2A"	"0.000"	"False"	"21.248"	"22"	"8"	"20"	"8"	"956"	"105.8"	"6.58"	"46.22"	"8"	"2302974.7109375"	"2320787.734375"	"7568329.625"	"7692613.109375"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CPT1"	"ENOG411CPT1"	"0.000"	"False"	"21.240"	"21"	"5"	"26"	"5"	"451"	"50.8"	"6.39"	"50.50"	"5"	"9385550.5"	"9358960.34375"	"26042889.5625"	"26531233.78125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411DEYD"	"ENOG411DEYD"	"0.000"	"False"	"21.213"	"8"	"6"	"12"	"3"	"1454"	"164.6"	"6.71"	"24.85"	"6"	"5195317.0859375"	"5145872.1875"	"13195969.40625"	"13264096.34375"	"Peak Found"	"Peak Found"	"High"	"High"	"1"	"Met-loss [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CWI7"	"ENOG411CWI7"	"0.000"	"False"	"21.170"	"7"	"6"	"17"	"5"	"1951"	"219.7"	"4.97"	"37.32"	"6"	"31551940.671875"	"31214222.8125"	"81455773.5"	"82663480.625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D2X8"	"ENOG411D2X8"	"0.000"	"False"	"21.092"	"36"	"5"	"21"	"5"	"275"	"32.0"	"10.70"	"36.38"	"5"	"91976328.125"	"90605219.1875"	"108198128.625"	"106775415.5"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYED"	"ENOG411CYED"	"0.000"	"False"	"20.897"	"17"	"7"	"21"	"7"	"805"	"92.5"	"10.90"	"41.25"	"7"	"7965255.828125"	"8580241.671875"	"27478292.9375"	"27670592.625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPMF"	"ENOG411CPMF"	"0.000"	"False"	"20.870"	"11"	"4"	"15"	"4"	"2281"	"249.8"	"7.27"	"31.27"	"4"	"2796421.48242188"	"2804876.3984375"	"8798946.25"	"9072813.90625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXHS"	"ENOG411CXHS"	"0.000"	"False"	"20.848"	"11"	"4"	"9"	"4"	"1477"	"161.3"	"8.21"	"23.55"	"4"	"144204.54296875"	"165094.056640625"	"1102075.5625"	"1056269.015625"	"High"	"High"	"High"	"High"	"1"	""
